CARDINALITY,TIME TAKEN,MODE,GUESS COUNT, MINES ATTACKED COUNT, SOLUTION FOUND, NO SOLUTION FOUND, AMBIGUOUS SOLUTION FOUND,
20,1263,NAIIVE,260,181,46,256,28
25,2295,NAIIVE,619,466,52,615,30
5,62,MEDIUM,621,466,62,615,73
10,140,MEDIUM,667,489,73,660,86
15,297,MEDIUM,735,529,116,728,86
20,1310,MEDIUM,1099,803,134,1092,89
25,2699,MEDIUM,1611,1163,140,1604,94
5,62,EXPERT,1626,1171,142,1617,112
10,234,EXPERT,1727,1238,151,1715,151
15,687,EXPERT,1990,1423,152,1977,155
10,577,NAIIVE,4,1,12,4,0
20,2106,NAIIVE,98,61,70,95,42
30,2013,NAIIVE,310,223,191,307,58
50,12404,NAIIVE,795,555,555,792,85
10,187,MEDIUM,846,578,560,843,87
20,1716,MEDIUM,1245,877,576,1242,89
10,671,NAIIVE,21,14,13,21,3
20,2012,NAIIVE,87,58,84,87,9
30,2668,NAIIVE,250,163,224,250,21
10,702,NAIIVE,21,15,10,18,28
20,3136,NAIIVE,316,250,15,313,31
30,3541,NAIIVE,769,620,32,766,35
50,12964,NAIIVE,1463,1135,357,1459,61
10,94,MEDIUM,1496,1154,369,1492,63
20,951,MEDIUM,1756,1319,405,1752,63
30,7114,MEDIUM,2707,2010,411,2703,63
5,483,NAIIVE,0,0,4,0,0
10,187,NAIIVE,8,3,21,8,4
15,609,NAIIVE,20,9,60,20,8
20,2059,NAIIVE,186,126,85,186,12
25,1934,NAIIVE,468,336,109,468,15
10,702,NAIIVE,10,1,15,10,3
20,1921,NAIIVE,102,69,53,102,6
30,5663,NAIIVE,702,543,60,702,10
50,29328,NAIIVE,2325,1889,141,2325,20
5,531,NAIIVE,0,0,3,0,0
5,483,NAIIVE,0,0,4,0,0
10,219,NAIIVE,11,5,17,11,5
15,639,NAIIVE,28,10,50,26,19
20,2730,NAIIVE,407,347,56,405,21
25,2013,NAIIVE,790,663,87,788,21
5,46,MEDIUM,790,663,93,788,21
5,483,NAIIVE,0,0,4,0,0
10,172,NAIIVE,3,0,18,3,0
15,624,NAIIVE,28,9,49,28,2
20,718,NAIIVE,50,21,124,46,33
10,734,NAIIVE,19,7,10,17,22
20,2324,NAIIVE,178,133,16,176,30
30,3822,NAIIVE,627,433,24,625,32
5,530,NAIIVE,0,0,4,0,0
10,234,NAIIVE,19,10,18,19,2
15,1186,NAIIVE,93,61,22,93,4
20,702,NAIIVE,149,94,93,148,9
25,2435,NAIIVE,596,468,125,595,12
5,483,NAIIVE,0,0,5,0,0
10,453,NAIIVE,40,21,14,38,27
15,905,NAIIVE,94,52,40,91,33
20,780,NAIIVE,168,102,99,165,39
25,1794,NAIIVE,413,267,146,409,56
5,46,MEDIUM,413,267,153,409,56
10,297,MEDIUM,515,342,157,509,89
15,546,MEDIUM,639,398,181,631,120
20,1934,MEDIUM,1134,774,184,1126,127
5,499,NAIIVE,0,0,3,0,0
10,219,NAIIVE,4,1,18,4,3
15,1201,NAIIVE,113,86,24,113,11
20,827,NAIIVE,164,116,95,164,16
25,1669,NAIIVE,361,254,157,359,38
5,468,NAIIVE,0,0,3,0,0
10,202,NAIIVE,7,1,27,7,0
15,531,NAIIVE,18,5,69,18,0
20,1794,NAIIVE,127,73,119,125,33
25,1591,NAIIVE,278,177,213,276,33
5,78,MEDIUM,285,180,218,283,45
10,665,NAIIVE,12,8,18,12,4
20,2433,NAIIVE,186,134,23,186,6
30,2122,NAIIVE,372,261,154,370,26
50,8517,NAIIVE,835,574,552,828,91
10,172,MEDIUM,914,622,561,905,116
20,998,MEDIUM,1179,805,610,1168,150
30,6958,MEDIUM,2136,1507,616,2125,153
5,437,NAIIVE,0,0,0,0,0
10,374,NAIIVE,19,3,20,18,3
15,843,NAIIVE,68,34,50,65,27
20,1284,NAIIVE,165,94,108,161,43
25,1747,NAIIVE,458,326,108,454,43
5,47,MEDIUM,460,326,112,456,46
10,202,MEDIUM,541,376,117,537,49
15,609,MEDIUM,721,507,137,717,51
20,1388,MEDIUM,1074,742,140,1070,55
25,3995,MEDIUM,1870,1358,145,1866,59
5,62,EXPERT,1882,1363,150,1878,61
10,251,EXPERT,1971,1418,155,1963,105
15,811,EXPERT,2293,1660,156,2284,110
20,1919,EXPERT,2853,2092,187,2842,159
5,499,NAIIVE,0,0,0,0,0
10,452,NAIIVE,44,28,5,44,4
15,796,NAIIVE,94,60,37,94,8
20,1185,NAIIVE,215,146,71,215,15
25,1765,NAIIVE,533,390,120,533,17
5,47,MEDIUM,536,392,125,536,21
10,203,MEDIUM,601,431,132,601,24
15,437,MEDIUM,711,500,156,711,31
20,1077,MEDIUM,974,653,163,974,31
25,3666,MEDIUM,1707,1224,171,1707,31
5,47,EXPERT,1717,1227,175,1717,33
10,234,EXPERT,1836,1313,179,1834,57
15,3370,EXPERT,2103,1484,193,2091,312
20,1560,EXPERT,2522,1787,199,2509,330
5,500,NAIIVE,1,0,3,0,3
5,499,NAIIVE,4,0,4,4,2
10,374,NAIIVE,41,22,20,41,2
15,921,NAIIVE,98,58,24,98,4
20,858,NAIIVE,155,83,86,155,7
25,2043,NAIIVE,523,388,112,523,7
10,827,NAIIVE,46,29,9,46,2
20,2542,NAIIVE,277,181,10,276,6
30,4431,NAIIVE,970,753,13,969,10
50,10124,NAIIVE,1572,1234,402,1569,38
10,141,MEDIUM,1622,1264,403,1618,42
5,530,NAIIVE,6,3,3,6,3
10,312,NAIIVE,17,8,22,14,22
15,2808,NAIIVE,46,23,64,37,140
20,890,NAIIVE,115,76,125,106,142
25,951,NAIIVE,202,131,230,190,175
5,47,MEDIUM,202,131,238,190,179
10,187,MEDIUM,254,166,256,241,187
15,437,MEDIUM,385,270,285,372,187
5,499,NAIIVE,0,0,0,0,0
10,624,NAIIVE,30,13,21,27,62
15,1201,NAIIVE,146,96,30,141,87
20,905,NAIIVE,253,165,78,248,101
25,1482,NAIIVE,460,325,144,454,111
5,63,MEDIUM,462,326,148,456,113
10,171,MEDIUM,489,339,169,483,113
15,687,MEDIUM,667,444,172,660,113
20,1482,MEDIUM,1024,680,177,1017,115
25,5117,MEDIUM,1522,996,228,1506,350
5,62,EXPERT,1529,998,239,1506,415
10,94,EXPERT,1541,1002,269,1517,421
10,3631,NAIIVE,5,2,21,5,0
20,1283,NAIIVE,47,14,104,47,0
30,7425,NAIIVE,604,472,140,604,0
5,2246,NAIIVE,4,1,3,4,3
10,203,NAIIVE,17,2,20,17,3
15,483,NAIIVE,100,63,26,100,11
5,8392,NAIIVE,0,0,3,0,0
10,250,NAIIVE,29,21,21,27,12
15,187,NAIIVE,38,24,61,36,12
20,546,NAIIVE,76,32,136,74,16
25,2262,NAIIVE,344,249,162,342,18
5,47,MEDIUM,346,249,166,344,21
10,140,MEDIUM,397,284,172,395,25
15,952,MEDIUM,594,429,195,586,107
20,2559,MEDIUM,992,716,206,984,107
10,702,NAIIVE,12,6,11,12,7
20,1232,NAIIVE,194,131,48,194,19
30,3386,NAIIVE,432,287,165,431,31
10,640,NAIIVE,13,11,16,13,5
20,1591,NAIIVE,270,206,23,270,16
30,2387,NAIIVE,419,306,180,418,40
10,624,NAIIVE,7,2,16,6,3
20,2122,NAIIVE,357,277,18,356,9
30,7659,NAIIVE,879,674,56,878,11
10,624,NAIIVE,6,3,17,6,3
20,1201,NAIIVE,206,161,30,206,3
30,6147,NAIIVE,575,440,80,574,14
10,734,NAIIVE,6,0,22,2,55
